onset	duration	Condition Name
24.238	1	Deviant 3.0
37.07	1	Catch - Catch
48.476	1	Deviant 9.0
58.457	1	Deviant 5.0
72.714	1	Catch - Catch
84.12	1	Deviant 3.0
94.101	1	Deviant 12.0
106.933	1	Catch - Catch
121.19	1	Deviant 4.0
129.745	1	Deviant 6.0
142.577	1	Deviant 12.0
151.131	1	Catch - Catch
162.537	1	Deviant 9.0
172.517	1	Deviant 6.0
186.775	1	Deviant 8.0
195.33	1	Deviant 3.0
209.587	1	Deviant 4.0
222.419	1	Catch - Catch
232.399	1	Deviant 5.0
243.805	1	Deviant 12.0
253.786	1	Catch - Catch
268.043	1	Deviant 8.0
280.875	1	Deviant 6.0
289.43	1	Deviant 5.0
300.836	1	Deviant 8.0
310.816	1	Catch - Catch
325.074	1	Deviant 9.0
333.628	1	Deviant 6.0
345.034	1	Deviant 4.0
357.866	1	Catch - Catch
